id,affiliateid,sourceid,clientid,link,product,clicks,actions,conversions,leads,impressions,revenue,actioncost,networkcost,totalcost,costperclick,clickthroughrate,conversionrate,earningsperhundredclicks,returnofinvestment,costperaction,actiondate
311196,1087,2,24,http://retailmenot.com,,32,4,4,0,39,0,10,40,40,1.25,0,0.13,0,-1,10,44:05.6
311212,1067,2,24,http://www.Offers.com,,16,1,1,0,16,0,10,10,10,0.63,0,0.06,0,-1,10,44:05.6
311228,1101,2,24,http://skimlinks.com,,34,0,0,0,34,0,0,0,0,0,0,0,0,0,0,44:05.6
311244,438,2,24,http://www.adgaterewards.com,,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,44:05.6
311260,1103,2,24,http://www.redshift.co.za,,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,44:05.6
311276,1107,2,24,http://www.groupon.com,,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,44:05.6
311292,1207,2,24,http://www.couponroots.com,,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,44:05.6
311308,1203,2,24,http://www.dealzhack.com,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44:05.6
311324,1,2,24,http://www.promopro.co.uk/,,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,44:05.6
311340,6,2,26,http://yieldkit.com/,,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,44:05.6
311356,1116,2,26,http://www.homestratosphere.com,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44:05.6
311372,1069,2,28,http://www.promocodes.com/,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44:05.6
311388,6,2,28,http://yieldkit.com/,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44:05.6
311404,327,2,29,http://www.goodshop.com,,20,3,3,0,21,76.5,3.06,9.18,9.18,0.46,0,0.15,382.5,7.33,3.06,44:05.6
311420,1087,2,29,http://retailmenot.com,,20,2,2,0,28,34,2.89,5.78,5.78,0.29,0,0.1,170,4.88,2.89,44:05.6
311436,1133,2,29,http://carolinescats.com,,0,1,1,0,0,32,3.84,3.84,3.84,0,0,0,0,7.33,3.84,44:05.6
311452,1127,2,29,http://downtoshop.net,,31,0,0,0,34,0,0,0,0,0,0,0,0,0,0,44:05.6
311468,1128,2,29,http://discountcaptain.com,,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,44:05.6
311484,82,2,29,http://www.shopathome.com,,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,44:05.6
311500,1164,2,29,http://couponcabin.com,,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,44:05.6
311516,6,2,29,http://yieldkit.com/,,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,44:05.6
311532,5,2,29,http://www.anycodes.com,,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,44:05.6
311548,123,2,29,http://www.marketamerica.com,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44:05.6
311564,596,2,29,http://thebestcodes.com,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44:05.6
311580,1142,2,29,http://www.kinoliinc.com,,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,44:05.6
296192,56,1,9,www.dealmecoupon.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296208,156,1,9,www.DontPayFull.com,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10:56.4
296224,39,1,11,www.groupon.com,,11,11,0,0,11,0,0,0,0,0,0,0,0,0,0,10:56.4
296240,199,1,11,www.anzrath.com,,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,10:56.4
296256,22,1,11,www.savings.com,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10:56.4
296272,6,1,11,yieldkit.com,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10:56.4
296288,153,1,11,www.couponchief.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296304,4,1,11,www.viglink.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296320,21,1,11,coupons.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296336,25,1,11,www.rebatesme.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296352,140,1,11,us.mattress.zone,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
296368,34,1,11,www.reecoupons.com,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10:56.4
